bacterium,antibiotic,n_isolates,observed_resistance,has multidrug efflux pump_bact,performs hydrolysis_bact,porin loss_bact,porin mutation_bact,PBP modification_bact,ribosomal methylation_bact,biofilm protection_bact,target alteration_bact,target replacement_bact,target overexpression_bact,inactivation_bact,gram_negative_bact,outer_membrane_bact,intrinsic_beta_lactamase_bact,non_fermenter_bact,has multidrug efflux pump_abx,performs hydrolysis_abx,porin loss_abx,porin mutation_abx,PBP modification_abx,ribosomal methylation_abx,biofilm protection_abx,target alteration_abx,target replacement_abx,target overexpression_abx,inactivation_abx,gram_negative_abx,outer_membrane_abx,intrinsic_beta_lactamase_abx,non_fermenter_abx
Acinetobacter baumannii,Amikacin,37717,0.5576,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.5,0.1,0.3,0.2,0.0,0.8,0.7,0.7,0.1,0.1,0.7,0.3,0.3,0.0,0.3
Acinetobacter baumannii,Ampicillin-sulbactam,17819,0.5312,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.5,0.2,0.4,0.3,0.7,0.0,0.6,0.2,0.1,0.1,0.2,0.5,0.5,0.2,0.8
Acinetobacter baumannii,Cefepime,37717,0.6038,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.4,0.6,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.3,0.3,0.4,0.3
Acinetobacter baumannii,Cefiderocol,1516,0.0482,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.2,0.3,0.1,0.1,0.4,0.0,0.5,0.2,0.1,0.1,0.5,0.2,0.1,0.1,0.1
Acinetobacter baumannii,Gentamicin,17819,0.6654,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.6,0.1,0.3,0.2,0.0,0.9,0.7,0.7,0.1,0.1,0.8,0.3,0.3,0.0,0.3
Acinetobacter baumannii,Imipenem,23014,0.6669,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.3,0.7,0.8,0.6,0.6,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Acinetobacter baumannii,Meropenem,35934,0.636,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.4,0.8,0.8,0.6,0.5,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Escherichia coli,Amikacin,104889,0.0432,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0.5,0.1,0.3,0.2,0.0,0.8,0.7,0.7,0.1,0.1,0.7,0.3,0.3,0.0,0.3
Escherichia coli,Amoxicillin-clavulanate,104889,0.1194,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0.5,0.2,0.4,0.3,0.7,0.0,0.6,0.2,0.1,0.1,0.2,0.5,0.5,0.2,0.8
Escherichia coli,Ampicillin,104889,0.6798,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0.4,0.9,0.5,0.5,0.9,0.0,0.9,1.0,1.0,0.5,0.9,0.5,0.5,0.9,0.9
