,Bacteria Name,has cell wall_x,has multidrug efflux pump_x,performs hydrolysis,porin loss_x,porin mutation_x,PBP modification_x,ribosomal methylation_x,biofilm protection_x,Antibiotic Name,has cell wall_y,has multidrug efflux pump_y,hydrolysis,porin loss_y,porin mutation_y,PBP modification_y,ribosomal methylation_y,biofilm protection_y,cell_wall_factor,efflux_pump_factor,hydrolysis_factor,porin_loss_factor,porin_mutation_factor,pbp_modification_factor,ribosomal_methylation_factor,biofilm_factor,Total Vulnerability,Resistance,cell wall factor,multidrug efflux pump factor,hydrolysis factor,porin loss factor,porin mutation factor,PBP modification factor,ribosomal methylation factor,biofilm protection factor
0,Mycoplasma,0,0,0,0,0,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,0.9,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
1,Mycoplasma,0,0,0,0,0,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,0.9,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
2,Mycoplasma,0,0,0,0,0,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,0.7,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
3,Mycoplasma,0,0,0,0,0,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,0.8,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
4,Mycoplasma,0,0,0,0,0,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
5,Mycoplasma,0,0,0,0,0,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,0.8,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
6,Mycoplasma,0,0,0,0,0,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,0.8,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
7,Mycoplasma,0,0,0,0,0,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,0.9,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
8,Escherichia coli,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
9,Escherichia coli,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
10,Escherichia coli,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
11,Escherichia coli,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
12,Escherichia coli,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
13,Escherichia coli,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
14,Escherichia coli,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
15,Escherichia coli,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
16,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
17,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
18,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
19,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
20,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
21,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
22,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
23,Pseudomonas aeruginosa,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
24,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Penicillins,0.1,0.8,0.9,0.6,0.4,0.9,0.1,0.9,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.8,0.9,0.6,0.4,0.0,0.0,0.9
25,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Vancomycins,0.5,0.2,0.0,1.0,1.0,0.5,0.1,0.9,0,0,0,0,0,0,0,0,3.6,0.86,0.5,0.2,0.0,1.0,1.0,0.0,0.0,0.9
26,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Carbapenems,0.1,0.9,1.0,0.6,0.8,0.5,0.1,0.7,0,0,0,0,0,0,0,0,4.1,0.87,0.1,0.9,1.0,0.6,0.8,0.0,0.0,0.7
27,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Cephalosporins,0.1,0.7,0.9,0.6,0.6,0.9,0.1,0.8,0,0,0,0,0,0,0,0,3.7,0.79,0.1,0.7,0.9,0.6,0.6,0.0,0.0,0.8
28,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Aminoglycosides,0.3,0.6,0.9,0.3,0.3,0.1,1.0,0.9,0,0,0,0,0,0,0,0,3.3,0.75,0.3,0.6,0.9,0.3,0.3,0.0,0.0,0.9
29,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Macrolides,0.4,0.8,0.8,0.4,0.3,0.1,0.9,0.8,0,0,0,0,0,0,0,0,3.5,0.78,0.4,0.8,0.8,0.4,0.3,0.0,0.0,0.8
30,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Fluoroquinolones,0.2,0.5,0.3,0.4,0.4,0.1,0.2,0.8,0,0,0,0,0,0,0,0,2.6,0.9,0.2,0.5,0.3,0.4,0.4,0.0,0.0,0.8
31,Klebsiella pneumoniae,1,1,1,1,1,0,0,1,Tetracyclines,0.3,0.9,0.9,0.4,0.4,0.1,0.8,0.9,0,0,0,0,0,0,0,0,3.8,0.81,0.3,0.9,0.9,0.4,0.4,0.0,0.0,0.9
